codigo;capitulo;partida;descripcion;unidad;precio;categoria;subcategoria;coste_materiales;coste_mano_obra;coste_complementarios;coste_otros;rendimiento;desperdicio_pct;notas_tecnicas
CT-03-01-030;Movimiento de tierras;Descapote y retiro de capa vegetal.;Descapote del terreno mediante retiro de la capa vegetal superficial, de unos 20 cm de espesor medio, hasta alcanzar el terreno firme apto para recibir fundaciones o rellenos. La capa vegetal es compresible y no admite carga, de modo que su retiro es condición previa a cualquier cimentación. Incluye el replanteo del área, la excavación de la capa con medios mecánicos o manuales según el acceso, su amontonamiento separado del resto del material por si el cliente desea reutilizarla en jardinería, y el perfilado de la superficie resultante. No incluye el transporte del material sobrante a botadero, que se valora en el subcapítulo de transporte de tierras. Medido en superficie realmente descapotada.;m2;1.65;Limpieza y desbroce;;0.00;0.28;0.01;0.98;0.075 h/m²;;Coste directo 1.27 USD + margen 30%
CT-03-01-040;Movimiento de tierras;Retiro de raíces y obstáculos menores enterrados.;Retiro de raíces, restos de fundaciones antiguas, tuberías fuera de servicio y demás obstáculos menores que aparecen enterrados al despejar el terreno. Incluye la localización y descubrimiento del obstáculo, su extracción con medios manuales o con retroexcavadora según el tamaño, el corte con motosierra o amoladora cuando sea necesario fragmentarlo, el relleno y compactación del hueco resultante con material del sitio y la separación del material extraído según sea escombro, chatarra o vegetal. No incluye el transporte del material sobrante a botadero, que se valora en el subcapítulo de transporte de tierras. Medido en superficie de terreno realmente sondeada y liberada de obstáculos.;m2;2.87;Limpieza y desbroce;;0.31;0.71;0.02;1.17;0.190 h/m²;;Coste directo 2.21 USD + margen 30%
CT-03-02-010;Movimiento de tierras;Excavación manual en zanja para fundaciones.;Excavación manual en zanja o pozo para fundaciones, en terreno de consistencia media, hasta la cota y con las dimensiones de proyecto. Es la solución habitual en obra de reforma y en ampliaciones donde no hay acceso para maquinaria o el volumen no la justifica. Incluye el replanteo de la zanja, la excavación con pico y pala por capas, el acopio del material a distancia suficiente del borde para no sobrecargarlo, el perfilado de paredes y fondo, y la extracción del material hasta el punto de carga. No incluye el transporte del material sobrante a botadero, que se valora en el subcapítulo de transporte de tierras. Medido en volumen teórico de excavación según las dimensiones de proyecto.;m3;12.77;Excavaciones;;0.17;9.55;0.10;0.00;2.600 h/m³;;Coste directo 9.82 USD + margen 30%
CT-03-02-020;Movimiento de tierras;Excavación mecanizada en zanja para fundaciones.;Excavación mecanizada en zanja o pozo para fundaciones mediante retroexcavadora, en terreno de consistencia media, hasta la cota y con las dimensiones de proyecto. Incluye el replanteo, la excavación con la máquina, el acopio del material a distancia suficiente del borde, el refine manual de paredes y fondo que la máquina no puede dar, y la vigilancia durante la excavación para detener los trabajos si aparecen instalaciones enterradas no previstas. No incluye el transporte del material sobrante a botadero, que se valora en el subcapítulo de transporte de tierras. Medido en volumen teórico de excavación según las dimensiones de proyecto.;m3;7.38;Excavaciones;;0.07;1.70;0.06;3.85;0.460 h/m³;;Coste directo 5.68 USD + margen 30%
CT-03-02-030;Movimiento de tierras;Excavación manual en zanja para instalaciones enterradas.;Excavación manual en zanja de sección reducida para el tendido de tuberías de agua, desagüe o canalizaciones eléctricas enterradas, con la pendiente que exija la instalación. Se ejecuta a mano precisamente porque en zonas construidas el riesgo de romper una instalación existente hace desaconsejable la máquina. Incluye el replanteo del trazado, la excavación por capas con vigilancia continua, el acopio del material junto a la zanja, el perfilado del fondo con la pendiente requerida y el mantenimiento de la zanja señalizada mientras permanezca abierta. No incluye el transporte del material sobrante a botadero, que se valora en el subcapítulo de transporte de tierras. Medido en volumen teórico de excavación según las dimensiones de proyecto.;m3;12.32;Excavaciones;;0.57;8.82;0.09;0.00;2.400 h/m³;;Coste directo 9.48 USD + margen 30%
CT-03-02-040;Movimiento de tierras;Excavación mecanizada a cielo abierto.;Excavación mecanizada a cielo abierto para vaciado general, rebaje de cota o formación de plataforma, mediante retroexcavadora o minicargadora, en terreno de consistencia media. Incluye el replanteo y marcado de la cota final, la excavación por tongadas, el acopio del material en obra o su carga directa sobre camión, el refine manual de los bordes y taludes, y el control topográfico de la cota alcanzada. No incluye el transporte del material sobrante a botadero, que se valora en el subcapítulo de transporte de tierras. Medido en volumen teórico de excavación según las cotas de proyecto.;m3;5.19;Excavaciones;;0.00;1.11;0.04;2.84;0.300 h/m³;;Coste directo 3.99 USD + margen 30%
CT-03-02-050;Movimiento de tierras;Excavación en material duro o roca.;Excavación en terreno de alta compacidad, material cementado o roca, mediante martillo hidráulico montado sobre retroexcavadora, con apoyo de martillo neumático manual en los rincones. Se aplica cuando el rendimiento de la excavación convencional cae por debajo de lo aceptable, circunstancia que debe dejarse acreditada en obra para justificar el cambio de partida. Incluye el fracturado del material, su extracción y acopio, el refine de paredes y fondo, y el control de las vibraciones cuando existan edificaciones colindantes. No incluye el transporte del material sobrante a botadero, que se valora en el subcapítulo de transporte de tierras. Medido en volumen teórico de excavación según las dimensiones de proyecto.;m3;30.21;Excavaciones;;0.61;4.10;0.23;18.30;1.100 h/m³;;Coste directo 23.24 USD + margen 30%
CT-03-02-060;Movimiento de tierras;Excavación para tanque séptico, sumidero o tanque enterrado.;Excavación para el alojamiento de tanque séptico, sumidero, tanque de agua enterrado o similar, con las dimensiones de proyecto más el sobreancho de trabajo necesario para el montaje y el posterior relleno perimetral. Incluye el replanteo, la excavación con medios mecánicos y refine manual, el perfilado del fondo a la cota exacta de apoyo, la comprobación de la estabilidad de las paredes y su entibado si la profundidad lo exige, y la señalización y cubrición del hueco mientras permanezca abierto. No incluye el transporte del material sobrante a botadero, que se valora en el subcapítulo de transporte de tierras. Medido en volumen teórico de excavación según las dimensiones de proyecto.;m3;11.95;Excavaciones;;0.89;2.96;0.09;5.25;0.800 h/m³;;Coste directo 9.19 USD + margen 30%
CT-03-02-070;Movimiento de tierras;Entibado de zanja con madera.;Entibado de las paredes de zanja mediante tablones y puntales de madera, para sostener el terreno y permitir el trabajo seguro en el interior. Es obligatorio a partir de la profundidad en que el terreno deja de ser autoestable, y su ausencia es la causa principal de los accidentes graves en zanja. Incluye el montaje del entibado conforme avanza la excavación y nunca después, la colocación de tablones y puntales con el apriete necesario, la revisión diaria del conjunto y tras cada lluvia, y el desmontaje escalonado a medida que se ejecuta el relleno. Medido en superficie de pared de zanja realmente entibada.;m2;8.83;Excavaciones;;4.06;2.66;0.07;0.00;0.560 h/m²;;Coste directo 6.79 USD + margen 30%
CT-03-02-080;Movimiento de tierras;Perfilado y compactación del fondo de excavación.;Perfilado, refine y compactación del fondo de la excavación hasta dejarlo a la cota exacta, plano y con la densidad requerida para recibir la fundación o la base del pavimento. Incluye la retirada del material suelto y descomprimido del fondo, el refine manual hasta la cota de proyecto, la humectación del terreno hasta la humedad óptima y la compactación con plancha vibratoria o compactador de impacto según el ancho disponible. Medido en superficie de fondo realmente perfilada.;m2;1.10;Excavaciones;;0.03;0.60;0.01;0.21;0.160 h/m²;;Coste directo 0.85 USD + margen 30%
CT-03-02-090;Movimiento de tierras;Achicamiento de agua en excavación.;Agotamiento del agua acumulada en la excavación mediante bomba sumergible con manguera de descarga a punto autorizado, para permitir el trabajo en seco. Se aplica cuando aparece nivel freático, filtraciones o agua de lluvia acumulada. Incluye el emplazamiento de la bomba en el punto bajo, el tendido de la manguera de descarga a un punto donde el vertido no erosione ni inunde otras zonas, la vigilancia del funcionamiento, la limpieza periódica del filtro de aspiración y el retiro del equipo. Medido por hora de funcionamiento efectivo del equipo.;hora;4.30;Excavaciones;;0.00;0.88;0.03;2.40;0.250 h/hora;;Coste directo 3.31 USD + margen 30%
CT-03-03-010;Movimiento de tierras;Relleno y compactación con material del sitio.;Relleno de zanjas, trasdós de muros o rebajes con el propio material procedente de la excavación, siempre que sea apto por no contener materia orgánica ni elementos compresibles, extendido y compactado en capas de 20 cm de espesor máximo. Incluye la selección y cribado grosero del material acopiado, su extendido por tongadas, la humectación hasta la humedad óptima, la compactación de cada capa con compactador de impacto o plancha vibratoria según el espacio, y la comprobación del nivel final. Medido en volumen de relleno compactado según las dimensiones de proyecto.;m3;5.37;Rellenos y compactación;;0.14;2.96;0.04;0.99;0.800 h/m³;;Coste directo 4.13 USD + margen 30%
CT-03-03-020;Movimiento de tierras;Relleno y compactación con material granular de préstamo.;Relleno con material granular seleccionado de préstamo, tipo granzón natural, extendido y compactado en capas de 20 cm de espesor máximo, empleado cuando el material del sitio no reúne las condiciones exigidas. Incluye el suministro y puesta en obra del material, su extendido por tongadas, la humectación hasta la humedad óptima, la compactación de cada capa hasta alcanzar la densidad especificada y el control del nivel final. Medido en volumen de relleno compactado según las dimensiones de proyecto.;m3;34.71;Rellenos y compactación;;22.66;2.74;0.26;1.04;0.740 h/m³;;Coste directo 26.70 USD + margen 30%
CT-03-03-030;Movimiento de tierras;Relleno de zanja de instalaciones con arena.;Relleno de zanja de instalaciones con arena lavada, formando la cama de asiento bajo la tubería y el recubrimiento envolvente hasta 20 cm por encima de su generatriz superior, para protegerla de cargas puntuales y del contacto con material grueso. Incluye el suministro y puesta en obra de la arena, la formación de la cama con la pendiente de la instalación, el relleno lateral y superior por capas con compactación manual cuidadosa para no desplazar ni dañar la tubería, y la colocación de la cinta de señalización sobre el recubrimiento. Medido en volumen de arena realmente colocada.;m3;39.23;Rellenos y compactación;;26.66;3.22;0.30;0.00;0.870 h/m³;;Coste directo 30.18 USD + margen 30%
CT-03-03-040;Movimiento de tierras;Base de piedra picada compactada.;Base de piedra picada extendida y compactada bajo pisos, aceras o pavimentos exteriores, con función de capa drenante y de reparto de cargas, y de rotura del ascenso capilar de humedad hacia el piso. Incluye el suministro y puesta en obra de la piedra, su extendido por tongadas de 15 cm, el acuñado con material fino cuando se requiera cerrar la superficie, la compactación con plancha vibratoria y la comprobación del nivel y la planitud finales. Medido en volumen de base compactada según las dimensiones de proyecto.;m3;45.36;Rellenos y compactación;;31.26;2.52;0.35;0.76;0.680 h/m³;;Coste directo 34.89 USD + margen 30%
CT-03-03-050;Movimiento de tierras;Nivelación y compactación de terreno.;Nivelación y compactación de la superficie del terreno tras el desbroce o el relleno, hasta dejarla a la cota y con la pendiente de proyecto y con la densidad necesaria para recibir la capa siguiente. Incluye el repaso de la superficie con retirada de los puntos altos y aporte en los bajos, la humectación hasta la humedad óptima, la compactación con plancha vibratoria en pasadas cruzadas y la comprobación de cotas y pendientes con nivel láser. Medido en superficie realmente nivelada y compactada.;m2;1.22;Rellenos y compactación;;0.04;0.63;0.01;0.26;0.170 h/m²;;Coste directo 0.94 USD + margen 30%
CT-03-04-010;Movimiento de tierras;Carga manual y transporte de tierra sobrante a botadero.;Carga manual del material sobrante de excavación sobre camión volqueta y transporte a botadero autorizado, incluido el canon de vertido, con una distancia media considerada de 25 km. Se emplea cuando el acopio es inaccesible para la maquinaria de carga. Incluye la carga a pala sobre el vehículo, el amarre y cubrición de la carga para evitar derrames durante el trayecto, el traslado, la descarga y la limpieza de la zona de carga. Medido en volumen de material esponjado realmente retirado.;m3;14.17;Transporte de tierras;;2.80;3.85;0.11;4.14;1.100 h/m³;;Coste directo 10.90 USD + margen 30%
CT-03-04-020;Movimiento de tierras;Carga mecanizada y transporte de tierra sobrante a botadero.;Carga mecanizada del material sobrante de excavación con retroexcavadora sobre camión volqueta y transporte a botadero autorizado, incluido el canon de vertido, con una distancia media considerada de 25 km. Incluye la carga con la máquina, el amarre y cubrición de la carga, el traslado, la descarga, el repaso manual del acopio residual y la limpieza de la zona de carga. Medido en volumen de material esponjado realmente retirado.;m3;12.22;Transporte de tierras;;2.80;0.81;0.09;5.70;0.230 h/m³;;Coste directo 9.40 USD + margen 30%
CT-03-04-030;Movimiento de tierras;Acopio provisional de tierra en obra para su reutilización.;Traslado interno y acopio provisional en obra del material de excavación apto para ser reutilizado en los rellenos posteriores, evitando el doble coste de botarlo y luego comprar material de préstamo. Incluye el traslado del material al punto de acopio, su amontonamiento con talud estable y alejado de los bordes de excavación, su cubrición con lámina plástica para evitar el lavado por lluvia y el aumento de humedad, y su posterior recuperación para el relleno. Medido en volumen de material realmente acopiado.;m3;3.44;Transporte de tierras;;0.10;1.12;0.03;1.40;0.320 h/m³;;Coste directo 2.65 USD + margen 30%
CT-03-04-040;Movimiento de tierras;Suministro y transporte de material de préstamo a obra.;Suministro de material granular de préstamo desde cantera o proveedor autorizado y su transporte y descarga en obra, en el punto de acopio indicado. Incluye la comprobación de la granulometría y la limpieza del material a la llegada, el rechazo de la carga si no cumple, la descarga en el punto acordado y el registro de los volúmenes recibidos por vale de entrega. Medido en volumen de material realmente recibido en obra.;m3;28.35;Transporte de tierras;;18.00;0.53;0.22;3.06;0.150 h/m³;;Coste directo 21.81 USD + margen 30%
CT-04-01-010;Fundaciones;Concreto pobre de limpieza bajo fundaciones, 5 cm de espesor.;Capa de concreto pobre de limpieza de 5 cm de espesor medio, vaciada sobre el fondo de excavación antes de armar la fundación. Cumple una función que no es estructural sino de ejecución: aísla el acero del terreno, evita que la tierra contamine el concreto estructural y proporciona una superficie limpia y a nivel donde replantear y apoyar los separadores. Incluye el repaso y compactación del fondo, el vaciado y extendido del concreto, su reglado a nivel y el marcado de los ejes de la fundación sobre la capa endurecida. Medido en superficie realmente ejecutada.;m2;8.41;Bases y zapatas;;5.78;0.63;0.06;0.00;0.170 h/m²;;Coste directo 6.47 USD + margen 30%
CT-04-01-020;Fundaciones;Acero de refuerzo en zapatas y bases.;Suministro, corte, doblado, armado y colocación de acero de refuerzo en cabillas corrugadas de límite elástico 4.200 kg/cm2 en zapatas y bases de fundación, según los planos de despiece. Incluye el corte y doblado en obra o el recibo del acero ya elaborado, el armado de las parrillas con amarre de alambre en todos los cruces del perímetro y alternos en el interior, la colocación de separadores para garantizar el recubrimiento especificado por todas las caras, el arriostramiento del armado para que no se desplace durante el vaciado y la revisión del despiece antes de autorizar el concreto. Medido en peso de acero realmente colocado, sin incluir despuntes ni solapes no previstos en el despiece.;kg;2.30;Bases y zapatas;;1.47;0.25;0.02;0.03;0.056 h/kg;;Coste directo 1.77 USD + margen 30%
CT-04-01-030;Fundaciones;Encofrado y desencofrado de zapata.;Encofrado de las caras laterales de zapata mediante paneles de madera con sus puntales y arriostramientos, y su posterior desencofrado. Incluye el replanteo y montaje de los paneles, la comprobación de escuadras, plomos y dimensiones antes del vaciado, el apuntalamiento y arriostramiento que impide la apertura del encofrado por el empuje del concreto fresco, la aplicación de desmoldeante, el desencofrado cuidadoso una vez alcanzada la resistencia necesaria, y la limpieza y acopio de los paneles para su reutilización. Medido en superficie de encofrado en contacto con el concreto.;m2;13.77;Bases y zapatas;;6.17;4.32;0.10;0.00;0.960 h/m²;;Coste directo 10.59 USD + margen 30%
CT-04-01-040;Fundaciones;Concreto para zapata aislada.;Concreto premezclado de resistencia 210 kg/cm2 vaciado en zapata aislada, incluida su compactación por vibrado y su curado. Incluye la revisión previa del armado, del encofrado y del recubrimiento, la recepción y comprobación del concreto a la llegada con rechazo de la carga si no cumple el asentamiento, el vaciado por capas evitando la segregación, la compactación con vibrador de aguja sin tocar el armado ni el encofrado, el reglado de la cara superior, el curado durante los primeros días y la toma de probetas cuando el control de calidad lo exija. Medido en volumen teórico según las dimensiones de proyecto.;m3;167.70;Bases y zapatas;;120.35;6.76;1.28;0.61;1.620 h/m³;;Coste directo 129.00 USD + margen 30%
CT-04-01-050;Fundaciones;Concreto para zapata corrida.;Concreto premezclado de resistencia 210 kg/cm2 vaciado en zapata corrida bajo muro o hilera de columnas, incluida su compactación por vibrado y su curado. El vaciado en zanja continua rinde algo mejor que el de zapatas aisladas por la continuidad del frente de trabajo. Incluye la revisión previa del armado y del recubrimiento, la recepción y comprobación del concreto, el vaciado por capas, la compactación con vibrador de aguja, el reglado de la cara superior a la cota prevista y el curado durante los primeros días. Medido en volumen teórico según las dimensiones de proyecto.;m3;166.60;Bases y zapatas;;120.28;6.06;1.27;0.54;1.450 h/m³;;Coste directo 128.15 USD + margen 30%
CT-04-01-060;Fundaciones;Pedestal de concreto armado sobre fundación.;Pedestal de concreto armado de resistencia 210 kg/cm2 que arranca de la zapata y eleva el apoyo de la columna hasta la cota de arranque, incluidos su encofrado, su vaciado y su curado. Incluye el replanteo sobre la zapata, el montaje y aplomado del encofrado con arriostramiento en las cuatro caras, la comprobación de que las cabillas de espera quedan en su posición y con la longitud de solape prevista, el vaciado y vibrado por capas, el desencofrado y el curado. No incluye el acero de refuerzo, que se valora por su peso. Medido en volumen teórico según las dimensiones de proyecto.;m3;243.11;Bases y zapatas;;161.44;22.70;1.85;1.02;5.000 h/m³;;Coste directo 187.01 USD + margen 30%
CT-04-02-010;Fundaciones;Acero de refuerzo en vigas de riostra.;Suministro, corte, doblado, armado y colocación de acero de refuerzo en cabillas corrugadas en vigas de riostra, según los planos de despiece. El armado de viga exige más tiempo por kilogramo que el de zapata por el montaje de los estribos y por el trabajo en zanja estrecha. Incluye el corte y doblado de barras y estribos, el armado de la canasta con la separación de estribos indicada y su reducción en las zonas de confinamiento junto a los apoyos, el amarre con alambre, la colocación de separadores por las cuatro caras, el anclaje o solape con las esperas de las zapatas y la revisión del despiece antes del vaciado. Medido en peso de acero realmente colocado.;kg;2.39;Vigas de riostra;;1.48;0.31;0.02;0.03;0.068 h/kg;;Coste directo 1.84 USD + margen 30%
CT-04-02-020;Fundaciones;Encofrado y desencofrado de viga de riostra.;Encofrado de las caras laterales de viga de riostra mediante paneles de madera con puntales y arriostramientos, y su posterior desencofrado. Incluye el replanteo y montaje de los paneles, la comprobación de alineación, plomo y sección antes del vaciado, el arriostramiento que impide la apertura por el empuje del concreto, la aplicación de desmoldeante, el desencofrado una vez alcanzada la resistencia necesaria y la limpieza y acopio de los paneles para su reutilización. Medido en superficie de encofrado en contacto con el concreto.;m2;14.29;Vigas de riostra;;6.20;4.68;0.11;0.00;1.040 h/m²;;Coste directo 10.99 USD + margen 30%
CT-04-02-030;Fundaciones;Concreto para viga de riostra.;Concreto premezclado de resistencia 210 kg/cm2 vaciado en viga de riostra, incluida su compactación por vibrado y su curado. La viga de riostra ata las fundaciones entre sí y es la que absorbe los asientos diferenciales, por lo que su continuidad y la correcta ejecución de los nudos con las zapatas son determinantes. Incluye la revisión previa del armado y del recubrimiento, la recepción del concreto, el vaciado continuo evitando juntas frías en los nudos, la compactación con vibrador de aguja, el reglado de la cara superior y el curado. Medido en volumen teórico según las dimensiones de proyecto.;m3;171.91;Vigas de riostra;;121.70;8.41;1.31;0.82;2.000 h/m³;;Coste directo 132.24 USD + margen 30%
CT-04-03-010;Fundaciones;Barrera de vapor de polietileno bajo losa de fundación.;Colocación de lámina de polietileno de alta densidad sobre la base compactada, como barrera de vapor que impide el ascenso capilar de humedad desde el terreno hacia la losa y el piso terminado. Es una capa barata cuya omisión provoca humedades permanentes en el piso, imposibles de corregir después sin demoler. Incluye la comprobación de que la base no presenta aristas que puedan perforar la lámina, el extendido con solapes de 20 cm sellados con cinta, el remonte en el perímetro hasta la cota superior de la losa y la reparación de cualquier perforación producida durante el armado. Medido en superficie realmente cubierta.;m2;1.29;Losas de fundación;;0.82;0.16;0.01;0.00;0.045 h/m²;;Coste directo 0.99 USD + margen 30%
CT-04-03-020;Fundaciones;Acero de refuerzo en losa de fundación.;Suministro, corte, doblado, armado y colocación de acero de refuerzo en cabillas corrugadas en losa de fundación, en parrillas inferior y superior según los planos de despiece. Incluye el corte y doblado, el armado de las parrillas con amarre de alambre, la colocación de separadores inferiores y de caballetes o soportes que mantienen la parrilla superior en su cota durante el vaciado, los refuerzos de borde y de esquina, y la revisión del despiece y del recubrimiento antes de autorizar el concreto. Medido en peso de acero realmente colocado.;kg;2.27;Losas de fundación;;1.48;0.23;0.02;0.02;0.052 h/kg;;Coste directo 1.75 USD + margen 30%
CT-04-03-030;Fundaciones;Malla electrosoldada de refuerzo en losa.;Suministro y colocación de malla electrosoldada de acero como refuerzo de losa, sobre separadores que garantizan su posición dentro del espesor. Incluye el replanteo, el corte de los paños, su colocación con los solapes mínimos de dos retículas amarrados con alambre, la colocación de separadores y caballetes, y el repaso de la posición de la malla inmediatamente antes del vaciado, ya que es habitual que quede pisada y apoyada en el fondo, con lo que pierde por completo su función. Medido en superficie realmente reforzada.;m2;7.37;Losas de fundación;;4.94;0.67;0.06;0.00;0.150 h/m²;;Coste directo 5.67 USD + margen 30%
CT-04-03-040;Fundaciones;Encofrado perimetral de losa de fundación.;Encofrado del borde perimetral de losa de fundación mediante tablones de madera con estacas y arriostramiento, y su posterior desencofrado. Incluye el replanteo del perímetro, el montaje de los tablones a la cota exacta de la cara superior de la losa, su fijación y arriostramiento contra el empuje del concreto, la aplicación de desmoldeante, el desencofrado y la limpieza y acopio del material. Medido en superficie de encofrado en contacto con el concreto.;m2;14.11;Losas de fundación;;6.24;4.50;0.11;0.00;1.000 h/m²;;Coste directo 10.85 USD + margen 30%
CT-04-03-050;Fundaciones;Concreto para losa de fundación.;Concreto premezclado de resistencia 250 kg/cm2 vaciado en losa de fundación, incluida su compactación por vibrado. Incluye la revisión previa del armado, de los separadores y de la barrera de vapor, la recepción y comprobación del concreto, el vaciado continuo por franjas evitando las juntas frías, la compactación con vibrador de aguja, el reglado a la cota mediante maestras y el sangrado del agua de exudación antes del acabado. No incluye el acabado superficial ni el curado, que se valoran en la partida siguiente. Medido en volumen teórico según las dimensiones de proyecto.;m3;182.77;Losas de fundación;;130.00;6.50;1.39;2.70;1.560 h/m³;;Coste directo 140.59 USD + margen 30%
CT-04-03-060;Fundaciones;Acabado y curado de losa de fundación.;Acabado superficial de la losa mediante alisado mecánico y su curado posterior. Incluye el reglado y flotado inicial, el alisado con alisadora mecánica en las pasadas necesarias hasta obtener la textura requerida según vaya a recibir un piso adherido o quedar visto, el aserrado de las juntas de retracción en el momento adecuado, y el curado mediante curador de membrana o riego continuo durante los primeros días, sin el cual la losa fisura por retracción plástica por muy bien vaciada que esté. Medido en superficie realmente acabada.;m2;2.48;Losas de fundación;;0.61;0.92;0.02;0.36;0.200 h/m²;;Coste directo 1.91 USD + margen 30%
CT-04-04-010;Fundaciones;Encofrado a dos caras de muro de contención.;Encofrado a dos caras de muro de contención mediante paneles de madera con sus tirantes pasantes, puntales y arriostramientos, y su posterior desencofrado. Incluye el replanteo, el montaje y aplomado de la primera cara, la colocación de los tirantes y separadores que fijan el espesor, el cierre de la segunda cara tras la revisión del armado, el arriostramiento frente al empuje del concreto fresco que en un muro alto es considerable, la aplicación de desmoldeante, el desencofrado y el sellado de los agujeros de los tirantes. Medido en superficie de encofrado en contacto con el concreto, contando ambas caras.;m2;16.43;Muros de contención;;6.93;5.58;0.13;0.00;1.240 h/m²;;Coste directo 12.64 USD + margen 30%
CT-04-04-020;Fundaciones;Acero de refuerzo en muro de contención.;Suministro, corte, doblado, armado y colocación de acero de refuerzo en cabillas corrugadas en muro de contención, según los planos de despiece. Incluye el corte y doblado, el armado de las dos parrillas verticales con sus ganchos de arranque solapados a las esperas de la fundación, el amarre con alambre, la colocación de separadores en ambas caras para garantizar el recubrimiento, los refuerzos de borde y de esquina, y la comprobación de que la parrilla del lado del terreno queda en la cara traccionada correcta, error frecuente y de consecuencias graves. Medido en peso de acero realmente colocado.;kg;2.37;Muros de contención;;1.49;0.28;0.02;0.03;0.062 h/kg;;Coste directo 1.82 USD + margen 30%
CT-04-04-030;Fundaciones;Concreto para muro de contención.;Concreto premezclado de resistencia 250 kg/cm2 vaciado en muro de contención, incluida su compactación por vibrado y su curado. Incluye la revisión previa del armado, del encofrado y de los recubrimientos, la recepción del concreto, el vaciado por capas de altura limitada y por puntos alternos para no descuadrar el encofrado, el uso de tubo de descarga cuando la altura de caída pueda provocar segregación, la compactación con vibrador de aguja en cada capa, el curado prolongado y el desencofrado una vez alcanzada la resistencia. Medido en volumen teórico según las dimensiones de proyecto.;m3;191.39;Muros de contención;;132.34;9.70;1.46;3.72;2.300 h/m³;;Coste directo 147.22 USD + margen 30%
CT-04-04-040;Fundaciones;Impermeabilización del trasdós de muro de contención.;Impermeabilización de la cara del muro en contacto con el terreno mediante imprimación y dos manos de emulsión asfáltica, con protección posterior. Es la única oportunidad de ejecutarla: una vez rellenado el trasdós, corregir una filtración obliga a excavar de nuevo. Incluye la limpieza y el repaso de la superficie con eliminación de rebabas y coqueras, la reparación de los agujeros de los tirantes del encofrado, la aplicación de la imprimación, las dos manos de emulsión asfáltica con especial cuidado en el encuentro con la fundación, y la colocación de la lámina de protección antes del relleno. Medido en superficie realmente impermeabilizada.;m2;11.62;Muros de contención;;6.91;1.94;0.09;0.00;0.420 h/m²;;Coste directo 8.94 USD + margen 30%
CT-04-04-050;Fundaciones;Drenaje de trasdós de muro con tubería y grava.;Drenaje longitudinal en la base del trasdós del muro, formado por tubería corrugada perforada envuelta en geotextil y capa de piedra picada de relleno drenante, con salida a punto de evacuación. Su función es eliminar el empuje hidrostático sobre el muro, que es la causa más común del fallo de los muros de contención, mucho más que el empuje de tierras. Incluye la formación del asiento con pendiente hacia la salida, la colocación del geotextil envolvente, el tendido de la tubería, el relleno con piedra picada, el cierre del geotextil y la conexión a la salida de evacuación. Medido en longitud realmente ejecutada.;m;21.94;Muros de contención;;14.74;1.97;0.17;0.00;0.460 h/m;;Coste directo 16.88 USD + margen 30%
CT-04-05-010;Fundaciones;Perforación para pilote vaciado en sitio.;Perforación rotatoria para pilote vaciado en sitio, en terreno de consistencia media, con equipo de perforación y su operador. Incluye el traslado y emplazamiento del equipo, el replanteo y centrado sobre el eje del pilote, la perforación hasta la cota de proyecto con control de la verticalidad, la extracción y acopio del material perforado, la limpieza del fondo de la perforación antes de introducir el armado y la protección o entubado provisional de la boca para evitar desprendimientos. Medido en longitud realmente perforada.;m;21.85;Pilotes y fundaciones profundas;;0.33;3.11;0.17;13.20;0.740 h/m;;Coste directo 16.81 USD + margen 30%
CT-04-05-020;Fundaciones;Acero de refuerzo en pilote.;Suministro, corte, doblado, armado y colocación de la canasta de acero de refuerzo del pilote, con sus barras longitudinales y su zuncho helicoidal. Incluye el armado de la canasta en superficie, la colocación de separadores circulares que centran la canasta dentro de la perforación y garantizan el recubrimiento, el izado y descenso controlado de la canasta dentro del pilote sin que roce las paredes y arrastre tierra, su suspensión a la cota correcta durante el vaciado y la disposición de las esperas de conexión con el cabezal. Medido en peso de acero realmente colocado.;kg;2.61;Pilotes y fundaciones profundas;;1.52;0.34;0.02;0.13;0.076 h/kg;;Coste directo 2.01 USD + margen 30%
CT-04-05-030;Fundaciones;Concreto para pilote vaciado en sitio.;Concreto premezclado de resistencia 250 kg/cm2 vaciado en pilote perforado, colocado mediante tubo tremie o embudo con tubo de descarga. Incluye la comprobación de la limpieza del fondo y de la posición de la canasta, la recepción del concreto con la fluidez adecuada para un vaciado sin vibrado en toda la profundidad, el vaciado continuo desde el fondo hacia arriba sin interrupciones que provoquen discontinuidades, el control del volumen realmente colocado frente al teórico como indicador de posibles sobreanchos o pérdidas, y el rebose de la cabeza para desalojar el concreto contaminado. Medido en volumen teórico según el diámetro y la longitud de proyecto.;m3;217.58;Pilotes y fundaciones profundas;;149.51;10.35;1.66;5.85;2.450 h/m³;;Coste directo 167.37 USD + margen 30%
CT-04-05-040;Fundaciones;Descabezado de pilote.;Demolición de la cabeza del pilote hasta la cota de proyecto, eliminando el concreto contaminado del rebose, y preparación de las esperas de acero para su conexión con el cabezal o la viga de atado. Incluye el marcado de la cota de corte, la demolición con martillo eléctrico sin dañar las barras de espera ni fisurar el concreto que permanece, el enderezado y limpieza de las esperas, el repicado de la superficie de contacto para dar adherencia al elemento superior y el retiro del escombro. Medido por pilote realmente descabezado.;ud;26.64;Pilotes y fundaciones profundas;;1.25;13.55;0.20;5.49;3.200 h/ud;;Coste directo 20.49 USD + margen 30%
